Genesymbol	Genetitle
HSPB2	Heat shock 27kDa protein 2
HSPD1	Heat shock 60kDa protein 1
HSPE1	Heat shock 10kDa protein 1
JUNB	Jun B proto-oncogene
KEAP1	Kelch-like ECH-associated protein 1
KRT1	Keratin 1
MB	Myoglobin
MGST3	Microsomal glutathione S-transferase 3
MPO	Myeloperoxidase
MPV17	MpV17 mitochondrial inner membrane protein
MSRA	Methionine sulfoxide reductase A
MTL5	Metallothionein-like 5
NCF1	Neutrophil cytosolic factor 1
NCF2	Neutrophil cytosolic factor 2
NOX4	NADPH oxidase 4
NQO1	NAD(P)H dehydrogenase, quinone 1
NUDT1	Nudix (nucleoside diphosphate linked moiety X)-type motif 1
OXR1	Oxidation resistance 1
OXSR1	Oxidative-stress responsive 1
PDLIM1	PDZ and LIM domain 1 (elfin)
PNKP	Polynucleotide kinase 3¡ä-phosphatase
PON1	Paraoxonase 1
PPID	Peptidylprolyl isomerase D (cyclophilin D)
PRDX1	Peroxiredoxin 1
PRDX2	Peroxiredoxin 2
PRDX3	Peroxiredoxin 3
PRDX4	Peroxiredoxin 4
PRDX5	Peroxiredoxin 5
PRDX6	Peroxiredoxin 6
PREX1	Phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1
PRG3	Proteoglycan 3
PRNP	Prion protein (p27¨C30)
PTGS1	Prostaglandin-endoperoxide synthase 1
PTGS2	Prostaglandin-endoperoxide synthase 2
RNF7	Ring finger protein 7
SCARA3	Scavenger receptor class A, member 3
SELS	Selenoprotein S
SERPINH1	Serpin peptidase inhibitor, clade H (heat shock protein 47), member 1
SFTPD	Surfactant, pulmonary-associated protein D
SGK2	Serum/glucocorticoid regulated kinase 2
SIRT2	Sirtuin 2
SOD1	Superoxide dismutase 1
SOD2	Superoxide dismutase 2
SQSTM1	Sequestosome 1
SRXN1	Sulfiredoxin 1
ST13	Suppression of tumorigenicity 13
STK25	Serine/threonine kinase 25
TCP1	T-complex 1
TTN	Titin
TXNRD1	Thioredoxin reductase 1
TXNRD2	Thioredoxin reductase 2
UCP2	Uncoupling protein 2
